target	name	mz	ppm	rt.min	rt.max	samples	threshold	known.alternatives	C13	N15	H2	event	interactive
AMP	  AMP	346.0558	15	10	15	12	10000	TBC	0	0	0	2	yes
CMP	  CMP	322.0446	15	12	16	12	400	TBC	0	0	0	2	yes
GMP	  GMP	362.0507	15	12	16	12	1000	TBC	0	0	0	2	yes
IMP	  IMP	347.0398	15	12	16	12	5000	TBC	0	0	0	2	yes
UMP	  UMP	323.0286	15	12	16	12	5000	TBC	0	0	0	2	yes
dAMP	 dAMP	330.0609	15	10	16	12	1000	TBC	0	0	0	2	yes
dCMP	 dCMP	306.0497	15	11	17	12	1000	TBC	0	0	0	2	yes
dGMP	 dGMP	346.0558	15	10	16	12	10000	TBC	0	0	0	2	yes
dTMP	 dTMP	321.0493	15	10	16	12	1000	TBC	0	0	0	2	yes
cAMP	c AMP	328.0452	15	10	16	12	1000	TBC	0	0	0	2	yes
cCMP	c CMP	304.034	15	12	20	10	1000	TBC	0	0	0	2	yes
cGMP	c GMP	344.0402	15	2	30	12	1000	TBC	0	0	0	2	yes
cIMP	c IMP	329.0293	15	10	16	12	10000	TBC	0	0	0	2	yes
cIMP2	c IMP2	329.0293	15	10	16	12	10000	TBC	0	0	0	2	yes
cUMP	c UMP	305.018	15	11	17	12	2000	TBC	0	0	0	2	yes
cdAMP	cdAMP	313.0576	15	10	16	12	1000	TBC	0	0	0	2	yes
cdGMP	cdGMP	328.0452	15	11	17	12	2000	TBC	0	0	0	2	yes
